Part,EDA,ECG,Respiration,Eyetracker,Game,Mouse Pos,Mouse Button,Keyboard,Face video,Face features,Depth video,Game video,Game resolution,Game audio,Game speech,Annot vlc,Annot arsl,NOTES,Consent_Q1,Consent_Q2,Consent_Q3,Consent_Q4,Consent_Q5,Consent_Q6
Not usable,0,0,0,0,0,0,0,0,0,0,0,0,1920x1080,0,0,0,0,"more than 50% of signal is bad (saturated, high SNR, missing)",0,0,0,0,0,0
Partial,1,1,1,1,1,1,1,1,1,1,1,1,1920x1080,1,1,1,1,"less than 50% of signal is bad (saturated, high SNR, missing)",0,0,0,0,0,0
Usable,2,2,2,2,2,2,2,2,2,2,2,2,1920x1080,2,2,2,2,"less than 33% of signal is bad (saturated, high SNR, missing)",3,3,3,3,3,3
Good,3,3,3,3,3,3,3,3,3,3,3,3,1920x1080,3,3,3,3,"less than 10% of signal is bad (saturated, high SNR, missing)",3,3,3,3,3,3
s1p3,3,3,3,3,1,0,0,0,0,0,0,3,1920x1080,,,0,3,game data not synchronized,3,3,3,3,3,3
s1p4,0,3,3,0,1,0,3,3,0,0,0,0,1920x1080,,,0,0,game data not synchronized,3,3,3,0,3,3
s2p1,0,0,0,0,0,0,0,0,0,0,0,0,1920x1080,,,0,0,game data not synchronized,3,3,3,3,3,3
s2p2,3,0,3,2,0,0,0,0,0,0,0,3,1920x1080,,,0,3,game data not synchronized,3,3,3,3,3,3
s2p3,0,0,0,0,0,0,0,0,0,0,0,0,1920x1080,,,0,0,game data not synchronized,3,3,3,3,3,3
s2p4,0,0,0,0,0,0,0,0,0,0,0,0,1920x1080,,,0,0,game data not synchronized,3,3,3,3,3,3
s3p2,0,0,3,0,0,0,3,3,0,0,0,0,1920x1080,,,0,0,,3,3,3,3,3,3
s3p3,0,1,1,3,0,0,3,3,1,1,3,3,1920x1080,,,0,3,face video wears mask,3,3,3,3,3,3
s3p4,0,0,2,3,0,0,3,3,1,1,1,3,1920x1080,,,3,0,face video wears mask and face cut-off on bottom,3,3,3,3,3,3
s4p3,3,3,3,3,3,0,3,3,3,3,3,3,1280x1024,,,0,3,,3,3,3,3,3,3
s4p4,0,0,0,0,3,0,0,0,0,0,0,0,1920x1080,,,0,0,,3,3,3,3,3,3
s5p1,0,3,3,3,0,0,3,3,2,2,3,3,1920x1080,,,0,0,face video wears mask partly,3,3,3,3,3,3
s5p2,0,2,3,3,3,0,3,3,1,1,3,3,1920x1080,,,3,0,face video wears mask,3,3,3,3,3,3
s6p1,0,0,0,3,3,0,3,3,1,1,3,3,1920x1080,,,3,0,face video wears mask,3,3,3,0,3,3
s6p2,0,3,3,0,3,0,3,3,1,1,3,3,1920x1080,,,0,3,face video wears mask,3,3,3,0,3,3
s6p3,0,3,3,3,3,0,3,3,3,3,3,3,1280x1024,,,3,0,,3,3,3,3,3,3
s6p4,3,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s7p1,0,2,3,3,3,0,3,3,3,3,3,3,1280x1024,,,0,3,can see ECG r-peaks but signal has low quality,3,3,3,3,3,3
s7p2,0,2,3,3,3,0,3,3,3,3,3,3,1280x1024,,,0,3,,3,3,3,3,3,3
s8p1,3,2,2,3,3,0,0,0,3,3,3,3,1280x1024,,,0,3,respiration signal seems has significant heart rate artifacts,3,3,3,3,3,3
s8p2,0,3,3,2,3,0,0,0,2,2,2,3,1920x1080,,,3,0,parts of face are cut-off in video gamevideo not in game at start,3,3,3,3,3,3
s8p3,1,3,3,2,3,0,0,0,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s8p4,3,2,3,3,3,0,0,0,3,3,3,3,1920x1080,,,3,0,,3,3,0,0,3,3
s9p1,1,1,3,3,3,0,3,3,2,2,3,3,1280x1024,,,3,0,face video wears mask partly eda has lots of artifacts ecg can see r-peaks but low quality,3,3,3,3,3,3
s9p2,0,3,3,3,3,0,3,3,2,2,3,3,1024x768,,,3,0,face video wears mask partly,3,3,3,3,3,3
s9p3,1,3,3,3,3,0,0,0,3,3,3,3,1920x1080,,,3,0,eda has high frequency noise,3,3,3,3,3,3
s9p4,3,3,3,3,3,0,3,3,2,2,3,3,1920x1080,,,0,3,face video wears mask partly,3,3,3,3,3,3
s10p1,3,3,3,3,3,0,3,3,0,0,0,0,1920x1080,,,0,3,,3,3,3,3,3,3
s10p2,3,3,3,3,3,0,3,3,0,0,0,0,1920x1080,,,3,0,,3,3,3,3,3,3
